轮次,ACC
1,0.8693999648094177
2,0.8809999823570251
3,0.8859999775886536
4,0.8739999532699585
5,0.88919997215271
6,0.8793999552726746
7,0.8953999876976013
8,0.8845999836921692
9,0.8899999856948853
10,0.8881999850273132
11,0.8944000005722046
12,0.8899999856948853
13,0.8951999545097351
14,0.8899999856948853
15,0.8951999545097351
16,0.8845999836921692
17,0.8887999653816223
18,0.892799973487854
19,0.8907999992370605
20,0.8905999660491943
21,0.8895999789237976
22,0.894599974155426
23,0.8913999795913696
24,0.897599995136261
25,0.901199996471405
26,0.8901999592781067
27,0.8899999856948853
28,0.9001999497413635
29,0.8965999484062195
30,0.8939999938011169
31,0.9007999897003174
32,0.9052000045776367
33,0.8901999592781067
34,0.9039999842643738
35,0.9021999835968018
36,0.9071999788284302
37,0.9009999632835388
38,0.8995999693870544
39,0.8967999815940857
40,0.9019999504089355
41,0.9005999565124512
42,0.9055999517440796
43,0.9049999713897705
44,0.9017999768257141
45,0.9013999700546265
46,0.8981999754905701
47,0.8953999876976013
48,0.902999997138977
49,0.9023999571800232
50,0.8965999484062195
51,0.9037999510765076
52,0.9133999943733215
53,0.9139999747276306
54,0.9115999937057495
55,0.914199948310852
56,0.9151999950408936
57,0.9165999889373779
58,0.9107999801635742
59,0.91239994764328
60,0.9143999814987183
61,0.91839998960495
62,0.9167999625205994
63,0.9179999828338623
64,0.9167999625205994
65,0.9169999957084656
66,0.9210000038146973
67,0.9217999577522278
68,0.920799970626831
69,0.9157999753952026
70,0.9217999577522278
71,0.9229999780654907
72,0.9181999564170837
73,0.9177999496459961
74,0.9217999577522278
75,0.9175999760627747
76,0.91839998960495
77,0.918999969959259
78,0.9205999970436096
79,0.9239999651908875
80,0.9177999496459961
81,0.9203999638557434
82,0.9185999631881714
83,0.9264000058174133
84,0.9193999767303467
85,0.9199999570846558
86,0.9175999760627747
87,0.9211999773979187
88,0.921999990940094
89,0.9167999625205994
90,0.9174000024795532
91,0.9203999638557434
92,0.9197999835014343
93,0.9167999625205994
94,0.9259999990463257
95,0.9193999767303467
96,0.9197999835014343
97,0.918999969959259
98,0.917199969291687
99,0.921999990940094
100,0.9249999523162842
