轮次,ACC
1,0.31919997930526733
2,0.4343999922275543
3,0.5270000100135803
4,0.5582000017166138
5,0.6074000000953674
6,0.6251999735832214
7,0.6567999720573425
8,0.6836000084877014
9,0.7119999527931213
10,0.7303999662399292
11,0.7419999837875366
12,0.7401999831199646
13,0.7662000060081482
14,0.7861999869346619
15,0.786799967288971
16,0.7829999923706055
17,0.8046000003814697
18,0.793999969959259
19,0.8133999705314636
20,0.8163999915122986
21,0.823199987411499
22,0.8208000063896179
23,0.8367999792098999
24,0.8187999725341797
25,0.8141999840736389
26,0.8423999547958374
27,0.8445999622344971
28,0.840399980545044
29,0.8399999737739563
30,0.8417999744415283
31,0.8491999506950378
32,0.8517999649047852
33,0.8569999933242798
34,0.8519999980926514
35,0.850600004196167
36,0.8671999573707581
37,0.8610000014305115
38,0.8677999973297119
39,0.8765999674797058
40,0.8711999654769897
41,0.8754000067710876
42,0.8718000054359436
43,0.8661999702453613
44,0.8673999905586243
45,0.8729999661445618
46,0.8743999600410461
47,0.8705999851226807
48,0.8743999600410461
49,0.8773999810218811
50,0.8805999755859375
51,0.8944000005722046
52,0.8995999693870544
53,0.8980000019073486
54,0.8999999761581421
55,0.9061999917030334
56,0.9025999903678894
57,0.9052000045776367
58,0.9053999781608582
59,0.8995999693870544
60,0.9067999720573425
61,0.8998000025749207
