轮次,ACC
1,0.30239999294281006
2,0.37059998512268066
3,0.468999981880188
4,0.5379999876022339
5,0.5777999758720398
6,0.5961999893188477
7,0.6624000072479248
8,0.6863999962806702
9,0.7067999839782715
10,0.7098000049591064
11,0.7031999826431274
12,0.7501999735832214
13,0.7565999627113342
14,0.7719999551773071
15,0.7699999809265137
16,0.7781999707221985
17,0.7667999863624573
18,0.7843999862670898
19,0.8021999597549438
20,0.8041999936103821
21,0.8119999766349792
22,0.8240000009536743
23,0.8276000022888184
24,0.8169999718666077
25,0.8312000036239624
26,0.8285999894142151
27,0.849399983882904
28,0.840999960899353
29,0.8361999988555908
30,0.8515999913215637
31,0.8513999581336975
32,0.843999981880188
33,0.8527999520301819
34,0.863599956035614
35,0.8545999526977539
36,0.8641999959945679
37,0.8679999709129333
38,0.8547999858856201
39,0.8545999526977539
40,0.8763999938964844
41,0.8631999492645264
42,0.8703999519348145
43,0.8700000047683716
44,0.8707999587059021
45,0.8687999844551086
46,0.878600001335144
47,0.8619999885559082
48,0.8631999492645264
49,0.8799999952316284
50,0.878600001335144
51,0.8863999843597412
52,0.8939999938011169
53,0.8905999660491943
54,0.8933999538421631
55,0.8937999606132507
56,0.902999997138977
57,0.9017999768257141
58,0.8959999680519104
59,0.8951999545097351
60,0.9019999504089355
